"location_name","year","victims"
"East Londonderry",1969,1
"Foyle",1969,2
"Newry & Armagh",1969,1
"Belfast North",1969,7
"Belfast West",1969,5
"East Antrim",1970,1
"Belfast East",1970,3
"Foyle",1970,5
"Newry & Armagh",1970,2
"Belfast North",1970,5
"Belfast South",1970,2
"Belfast West",1970,8
"Belfast East",1971,3
"Fermanagh & South Tyrone",1971,5
"Foyle",1971,18
"Lagan Valley",1971,1
"Mid Ulster",1971,3
"Newry & Armagh",1971,11
"Belfast North",1971,54
"South Antrim",1971,4
"Belfast South",1971,8
"Upper Bann",1971,3
"Belfast West",1971,53
"West Tyrone",1971,11
"East Antrim",1972,4
"Belfast East",1972,36
"East Londonderry",1972,4
"Fermanagh & South Tyrone",1972,26
"Foyle",1972,68
"Lagan Valley",1972,2
"Mid Ulster",1972,4
"Newry & Armagh",1972,37
"North Antrim",1972,2
"Belfast North",1972,93
"North Down",1972,1
"South Antrim",1972,11
"Belfast South",1972,22
"South Down",1972,5
"Upper Bann",1972,15
"Belfast West",1972,146
"West Tyrone",1972,8
"Belfast East",1973,15
"East Londonderry",1973,8
"Fermanagh & South Tyrone",1973,17
"Foyle",1973,18
"Lagan Valley",1973,4
"Mid Ulster",1973,5
"Newry & Armagh",1973,30
"North Antrim",1973,1
"Belfast North",1973,61
"North Down",1973,1
"South Antrim",1973,6
"Belfast South",1973,12
"South Down",1973,5
"Strangford",1973,2
"Upper Bann",1973,10
"Belfast West",1973,46
"West Tyrone",1973,11
"East Antrim",1974,4
"Belfast East",1974,9
"East Londonderry",1974,1
"Fermanagh & South Tyrone",1974,21
"Foyle",1974,20
"Lagan Valley",1974,3
"Mid Ulster",1974,9
"Newry & Armagh",1974,28
"North Antrim",1974,2
"Belfast North",1974,50
"North Down",1974,1
"South Antrim",1974,13
"Belfast South",1974,23
"South Down",1974,4
"Strangford",1974,2
"Upper Bann",1974,6
"Belfast West",1974,30
"West Tyrone",1974,6
"East Antrim",1975,6
"Belfast East",1975,16
"East Londonderry",1975,9
"Fermanagh & South Tyrone",1975,17
"Foyle",1975,12
"Lagan Valley",1975,4
"Mid Ulster",1975,7
"Newry & Armagh",1975,37
"North Antrim",1975,3
"Belfast North",1975,61
"North Down",1975,2
"South Antrim",1975,11
"Belfast South",1975,14
"South Down",1975,11
"Upper Bann",1975,19
"Belfast West",1975,47
"West Tyrone",1975,3
"East Antrim",1976,1
"Belfast East",1976,6
"East Londonderry",1976,4
"Fermanagh & South Tyrone",1976,13
"Foyle",1976,15
"Lagan Valley",1976,17
"Mid Ulster",1976,7
"Newry & Armagh",1976,40
"North Antrim",1976,2
"Belfast North",1976,71
"North Down",1976,1
"South Antrim",1976,9
"Belfast South",1976,17
"South Down",1976,1
"Strangford",1976,1
"Upper Bann",1976,14
"Belfast West",1976,43
"West Tyrone",1976,3
"East Antrim",1977,2
"East Londonderry",1977,5
"Fermanagh & South Tyrone",1977,12
